id,env,gen,yield,resid,MaxT,MinT,Rain,RH,tau3,zeta16,Rstc,rho2,rho12,xi16
174,E11,G4,5,-0.28,13,13,-119,-24,-0.0152,0.1739,34,0.0041,-0.2899,-0.3620
175,E11,G5,6,0.39,13,13,-119,-24,-0.0152,0.1739,-5,-0.0023,0.1635,0.1991
176,E11,G6,6,0.64,13,13,-119,-24,-0.0152,0.1739,25,0.0002,-0.0297,-0.0792
177,E11,G7,7,0.72,13,13,-119,-24,-0.0152,0.1739,-32,-0.0025,0.1780,0.1522
178,E11,G8,8,0.97,13,13,-119,-24,-0.0152,0.1739,-7,0.0017,-0.1037,-0.1038
179,E11,G9,7,1.05,13,13,-119,-24,-0.0152,0.1739,-24,-0.0024,0.1538,0.1169
180,E11,G10,6,0.47,13,13,-119,-24,-0.0152,0.1739,2,0.0014,-0.0795,0.0564
181,E11,G11,4,-0.95,13,13,-119,-24,-0.0152,0.1739,16,0.0010,-0.0347,-0.0748
182,E11,G12,5,-0.03,13,13,-119,-24,-0.0152,0.1739,8,0.0011,-0.0737,-0.0438
183,E11,G13,5,-0.36,13,13,-119,-24,-0.0152,0.1739,-13,0.0012,-0.0900,-0.2335
184,E11,G14,5,-0.86,13,13,-119,-24,-0.0152,0.1739,11,0.0043,-0.2351,-0.1182
185,E11,G15,4,-2.11,13,13,-119,-24,-0.0152,0.1739,39,0.0069,-0.4850,-0.4306
186,E11,G16,6,1.14,13,13,-119,-24,-0.0152,0.1739,14,0.0008,-0.0840,-0.1441
187,E11,G17,4,-0.61,13,13,-119,-24,-0.0152,0.1739,23,0.0019,-0.1373,-0.0558
188,E12,G1,11,2.29,-15,-15,-99,-41,-0.0160,0.4025,-41,-0.0082,0.5525,0.5820
189,E12,G2,9,0.71,-15,-15,-99,-41,-0.0160,0.4025,-13,-0.0038,0.2614,0.2320
190,E12,G3,8,-0.71,-15,-15,-99,-41,-0.0160,0.4025,-37,-0.0053,0.3335,0.3073
191,E12,G4,7,-1.46,-15,-15,-99,-41,-0.0160,0.4025,34,0.0041,-0.2899,-0.3620
192,E12,G5,9,0.21,-15,-15,-99,-41,-0.0160,0.4025,-5,-0.0023,0.1635,0.1991
193,E12,G6,8,-0.54,-15,-15,-99,-41,-0.0160,0.4025,25,0.0002,-0.0297,-0.0792
194,E12,G7,9,-0.46,-15,-15,-99,-41,-0.0160,0.4025,-32,-0.0025,0.1780,0.1522
195,E12,G8,10,-0.21,-15,-15,-99,-41,-0.0160,0.4025,-7,0.0017,-0.1037,-0.1038
196,E12,G9,9,-0.12,-15,-15,-99,-41,-0.0160,0.4025,-24,-0.0024,0.1538,0.1169
197,E12,G10,10,1.29,-15,-15,-99,-41,-0.0160,0.4025,2,0.0014,-0.0795,0.0564
198,E12,G11,9,0.88,-15,-15,-99,-41,-0.0160,0.4025,16,0.0010,-0.0347,-0.0748
199,E12,G12,9,0.79,-15,-15,-99,-41,-0.0160,0.4025,8,0.0011,-0.0737,-0.0438
200,E12,G13,8,-0.54,-15,-15,-99,-41,-0.0160,0.4025,-13,0.0012,-0.0900,-0.2335
201,E12,G14,9,-0.04,-15,-15,-99,-41,-0.0160,0.4025,11,0.0043,-0.2351,-0.1182
202,E12,G15,8,-1.29,-15,-15,-99,-41,-0.0160,0.4025,39,0.0069,-0.4850,-0.4306
203,E12,G16,7,-1.04,-15,-15,-99,-41,-0.0160,0.4025,14,0.0008,-0.0840,-0.1441
204,E12,G17,8,0.21,-15,-15,-99,-41,-0.0160,0.4025,23,0.0019,-0.1373,-0.0558
